index,year,MMM,month,day,unleaded,diesel
2,2022,Dec ,12,1,160,173.9
3,2022,Nov ,11,1,177.3,196.1
4,2022,Oct ,10,1,183.3,202.5
5,2022,Sept ,9,1,183.9,193.7
6,2022,Aug ,8,1,186.9,189.8
7,2022,July ,7,1,200.3,201.8
8,2022,June ,6,1,213.2,205
9,2022,May ,5,1,191.9,194.6
10,2022,April ,4,1,180.9,190.9
11,2022,Mar ,3,1,182.4,190.5
12,2022,Feb ,2,1,177.3,167.6
13,2022,Jan,1,1,175.5,166.1
17,2021,Dec ,12,1,172.5,161.9
18,2021,Nov ,11,1,172.6,163.3
19,2021,Oct ,10,1,164.6,156.6
20,2021,Sept ,9,1,162,146
21,2021,Aug ,8,1,155.9,144.9
22,2021,July ,7,1,155,144.4
23,2021,June ,6,1,153.9,143.5
24,2021,May ,5,1,150,140.1
25,2021,April ,4,1,146.6,138.3
26,2021,Mar ,3,1,142.9,133.8
27,2021,Feb ,2,1,138.9,129.8
28,2021,Jan,1,1,133.8,124.9
29,2021,Jan,1,1,129.9,120.8
34,2020,Dec ,12,1,127.3,119
35,2020,Nov ,11,1,125.7,117.3
36,2020,Oct ,10,1,126.4,118.5
37,2020,Sept ,9,1,124.9,116.5
39,2020,Aug ,8,1,127.5,118.5
40,2020,July ,7,1,125.9,117.3
41,2020,June ,6,1,121.8,113.9
42,2020,May ,5,1,123.7,115.5
43,2020,Apr ,4,1,126.9,116.9
44,2020,Mar ,3,1,126.5,116.9
45,2020,Feb ,2,1,141.9,133.4
46,2020,Jan ,1,1,144.5,135.9
52,2019,Dec,12,1,141.7,131.4
53,2019,Nov ,11,1,141.6,131.2
54,2019,Oct ,10,1,143.9,133.7
56,2019,Sept ,9,1,144.7,134.4
57,2019,Aug ,8,1,141.3,131.5
58,2019,July ,7,1,139.5,129.9
59,2019,June ,6,1,143.9,133.4
60,2019,May ,5,1,146.1,136.8
61,2019,Apr ,4,1,142.3,137
62,2019,Mar ,3,1,136.2,133
63,2019,Feb ,2,1,134.5,129.8
64,2019,Jan ,1,1,132.9,127.9
69,2018,Dec,12,1,136.9,131.9
70,2018,Nov ,11,1,146.9,138.9
71,2018,Oct ,10,1,147.9,141.9
72,2018,Sept ,9,1,145.9,139.9
73,2018,Aug ,8,1,144.9,135.8
74,2018,July ,7,1,143.8,134.2
75,2018,June ,6,1,147.6,137.8
76,2018,May ,5,1,141,131
77,2018,Apr ,4,1,137.6,127.1
78,2018,Mar ,3,1,137,126.5
79,2018,Feb ,2,1,138.1,127.7
80,2018,Jan ,1,1,138.2,127.3
87,2017,Dec,12,1,138.3,127.1
88,2017,Nov ,11,1,136.9,126.1
89,2017,Oct ,10,1,134.9,123.4
90,2017,Sept ,9,1,134.9,122
91,2017,Aug ,8,1,132.4,119.7
92,2017,July ,7,1,131.9,119.2
93,2017,June ,6,1,134.3,122.2
94,2017,May ,5,1,135.1,123.5
95,2017,Apr ,4,1,136.6,126
96,2017,Mar ,3,1,137.7,127.1
97,2017,Feb ,2,1,136.7,126.4
98,2017,Jan ,1,1,136.3,126.9
101,2016,dec,12,1,131.4,121.9
102,2016,Nov ,11,1,130.4,120.6
103,2016,Oct ,10,1,128.8,117
104,2016,Sept ,9,1,126.2,113.6
105,2016,Aug ,8,1,127.5,114.3
106,2016,July ,7,1,131.3,116.6
107,2016,June ,6,1,132.8,117.2
108,2016,May ,5,1,129.1,113.2
109,2016,Apr ,4,1,126,111.1
110,2016,Mar ,3,1,121.1,106.3
111,2016,Feb ,2,1,121.9,105.4
112,2016,Jan ,1,1,126.5,112.8
115,2015,dec,12,1,129.5,118.2
116,2015,Nov ,11,1,131.2,119.4
123,2015,Oct ,10,1,120.1,134.2
126,2015,Sept ,9,1,122,136.5
129,2015,Aug ,8,1,128.8,143.6
132,2015,Jul ,7,1,132.6,145.3
135,2015,June ,6,1,133.2,144.6
138,2015,May ,5,1,133.3,143.7
141,2015,Apr ,4,1,130.5,138.9
144,2015,Mar ,3,1,129.3,135.7
147,2015,Feb ,2,1,122.4,128.4
150,2015,Jan ,1,1,124.3,131.6
161,2014,Nov ,11,1,139.6,148.5
164,2014,Oct ,10,1,144.6,154.3
